"P1_S1","P1_S2","P1_S3","P1_S4","P2_S1","P2_S2","P2_S3","P2_S4","P3_S1","P3_S2","P3_S3","P3_S4"
0.777,0.349,0.245,0.08,0.777,0.349,0.245,0.08,0.0,0.3541,0.2161,0.0
0.842,0.386,0.22,0.075,0.842,0.386,0.22,0.075,0.0,0.388,0.1121,0.0
0.865,0.402,0.21,0.071,0.865,0.402,0.21,0.071,0.0,0.3584,0.0411,0.0
0.838,0.401,0.214,0.068,0.838,0.401,0.214,0.068,0.0029,0.3057,0.0073,0.0
0.839,0.392,0.222,0.07,0.839,0.392,0.222,0.07,0.0259,0.2378,0.0004,0.0
0.821,0.375,0.231,0.075,0.821,0.375,0.231,0.075,0.0669,0.1659,0.0,0.0
0.798,0.366,0.227,0.083,0.798,0.366,0.227,0.083,0.099,0.0946,0.0,0.0
0.766,0.379,0.215,0.086,0.766,0.379,0.215,0.086,0.1031,0.0325,0.0,0.0053
0.717,0.395,0.205,0.093,0.717,0.395,0.205,0.093,0.0775,0.0044,0.0,0.0447
0.6,0.408,0.188,0.101,0.6,0.408,0.188,0.101,0.0413,0.0,0.0,0.1122
0.598,0.416,0.166,0.116,0.598,0.416,0.166,0.116,0.0156,0.0,0.0,0.1872
0.644,0.429,0.158,0.138,0.644,0.429,0.158,0.138,0.0032,0.0,0.0086,0.2347
0.771,0.442,0.156,0.156,0.771,0.442,0.156,0.156,0.0,0.0,0.0614,0.215
0.863,0.45,0.165,0.164,0.863,0.45,0.165,0.164,0.0,0.0,0.1561,0.2139
0.913,0.459,0.184,0.169,0.913,0.459,0.184,0.169,0.0,0.0,0.2798,0.1998
0.936,0.464,0.201,0.17,0.936,0.464,0.201,0.17,0.0,0.0,0.4136,0.1732
0.946,0.473,0.225,0.161,0.946,0.473,0.225,0.161,0.0,0.0,0.5035,0.1199
0.95,0.468,0.254,0.153,0.95,0.468,0.254,0.153,0.0,0.0,0.5644,0.0604
0.955,0.461,0.276,0.15,0.955,0.461,0.276,0.15,0.0,0.0022,0.6216,0.0148
0.956,0.464,0.292,0.141,0.956,0.464,0.292,0.141,0.0,0.0223,0.6344,0.0011
0.931,0.508,0.3,0.141,0.931,0.508,0.3,0.141,0.0,0.0778,0.6049,0.0
0.801,0.564,0.316,0.146,0.801,0.564,0.316,0.146,0.0,0.1602,0.5148,0.0
0.782,0.593,0.316,0.152,0.782,0.593,0.316,0.152,0.0,0.2584,0.4413,0.0
0.806,0.638,0.31,0.155,0.806,0.638,0.31,0.155,0.0,0.3603,0.324,0.0
