"P_S1","P_S2","P_S3","P_S4"
42575.0,24147.0,32971.0,37481.0
38019.0,25230.0,32816.0,39820.0
33610.0,29899.0,32900.0,43100.0
32854.0,36127.0,32604.0,42240.0
32523.0,37503.0,32290.0,39634.0
31865.0,37277.0,32189.0,36463.0
31205.0,36327.0,33200.0,32244.0
30597.0,34771.0,34086.0,28016.0
31795.0,33450.0,34233.0,25439.0
37653.0,32419.0,33585.0,25295.0
44641.0,31962.0,32688.0,25289.0
46129.0,32032.0,32361.0,24528.0
47065.0,33790.0,30425.0,24209.0
46938.0,35343.0,26541.0,25541.0
46747.0,35903.0,23825.0,30908.0
46384.0,35951.0,22655.0,37559.0
46026.0,36820.0,21918.0,39424.0
46175.0,35839.0,21582.0,39637.0
46617.0,31873.0,21684.0,39222.0
48916.0,27582.0,22203.0,38730.0
51122.0,24836.0,25841.0,38270.0
50879.0,24619.0,30667.0,37271.0
49527.0,24329.0,34210.0,36806.0
46562.0,23767.0,35680.0,36779.0
42604.0,23694.0,36041.0,38405.0
37899.0,24758.0,36429.0,40598.0
33745.0,29136.0,36475.0,42303.0
32871.0,34740.0,35792.0,40244.0
32422.0,36192.0,35184.0,37064.0
31625.0,35876.0,34940.0,33746.0
30946.0,35247.0,35357.0,30110.0
30210.0,34797.0,35941.0,26443.0
31480.0,34513.0,35298.0,23758.0
37041.0,33452.0,33798.0,23366.0
44164.0,33062.0,32281.0,22908.0
45988.0,32854.0,31129.0,21948.0
46635.0,34065.0,28787.0,21319.0
45902.0,35193.0,25328.0,21655.0
45127.0,35258.0,22631.0,24048.0
44710.0,34932.0,21242.0,27631.0
44221.0,35055.0,20233.0,30929.0
44202.0,33470.0,19678.0,33239.0
44471.0,29881.0,19407.0,34147.0
47401.0,26078.0,19086.0,34196.0
49830.0,23373.0,20768.0,34136.0
48594.0,22878.0,23433.0,33319.0
46157.0,22256.0,26060.0,32200.0
42743.0,21528.0,27492.0,31938.0
38955.0,21161.0,27560.0,33211.0
34968.0,21270.0,27366.0,35967.0
31549.0,22879.0,27003.0,38925.0
30696.0,26168.0,26059.0,37259.0
29961.0,29097.0,25469.0,34804.0
28870.0,30621.0,25180.0,32239.0
28035.0,30734.0,26266.0,29761.0
26936.0,30280.0,28019.0,26505.0
27042.0,29593.0,28815.0,24141.0
29283.0,28249.0,28769.0,23971.0
32386.0,27722.0,28377.0,23314.0
35816.0,27796.0,28671.0,22570.0
38372.0,29115.0,27622.0,22085.0
38638.0,31409.0,24832.0,21903.0
38215.0,32445.0,22520.0,22685.0
37477.0,32469.0,21268.0,24522.0
36806.0,32521.0,20301.0,26776.0
36858.0,31773.0,19746.0,29711.0
37758.0,29308.0,19324.0,31371.0
40830.0,26206.0,18644.0,31393.0
45798.0,23727.0,19360.0,31209.0
45132.0,23383.0,21124.0,31352.0
42398.0,22919.0,23724.0,31240.0
39748.0,22143.0,26363.0,31610.0
36911.0,21655.0,28364.0,33123.0
34146.0,21339.0,29684.0,36634.0
31471.0,22024.0,30423.0,40943.0
30812.0,24333.0,29593.0,40086.0
29939.0,27130.0,28870.0,37545.0
28656.0,29394.0,28886.0,35044.0
27582.0,30455.0,29523.0,32279.0
26463.0,30830.0,30325.0,28978.0
26316.0,30859.0,30094.0,25836.0
27295.0,29787.0,29576.0,24786.0
28799.0,28860.0,29185.0,24107.0
31507.0,28781.0,29145.0,23145.0
35174.0,29720.0,27002.0,22603.0
37348.0,30971.0,23388.0,22554.0
38383.0,31650.0,21014.0,24381.0
39002.0,32214.0,20103.0,29771.0
38666.0,33230.0,19583.0,34650.0
38538.0,32864.0,19233.0,37380.0
39177.0,29585.0,19306.0,37946.0
